"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4001";;;
2;"D1";"D_T-1_P5.08mm_Horizontal";1;"3.3V";;;
3;"J1";"DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm";1;"ECU Connector 1";;;
4;"Q1";"SOT-23";1;"2N7002H";;;
5;"J3";"DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm";1;"Relay Module Con2";;;
6;"U1";"DIP-14_W7.62mm";1;"LM324";;;
7;"T1";"TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal";1;"Screw_Terminal_01x04";;;
8;"C3,C2,C1";"C_0805_2012Metric";3;"100nF";;;
9;"SW2,SW1";"SW_TH_Tactile_Omron_B3F-10xx";2;"MomentarySwitch";;;
10;"R15,R12,R11,R9,R8,R5,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";7;"10K";;;
11;"R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"39K";;;
12;"R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1k";;;
13;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"8.2K";;;
14;"R7,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"20K";;;
15;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"5.6K";;;
16;"R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"1M";;;
17;"J5";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm";1;"Relay Module Con1";;;
18;"J4";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm";1;"Vehicle Connector 1";;;
19;"J2";"DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm";1;"ECU Connector 2";;;
